PropertyName,TopFacilities
Smartworld One DXP,SwimmingPool Salon Restaurant Spa Cafeteria SunDeck 24x7Security ClubHouse GatedCommunity
M3M Crown,BowlingAlley MiniTheatre ManicuredGarden SwimmingPool FlowerGarden ReadingLounge GolfCourse Barbecue Sauna
Adani Brahma Samsara Vilasa,TerraceGarden Gazebo Fountain Amphitheatre PartyLawn BasketballCourt BadmintonCourt Yoga/MeditationArea IndoorGames
Sobha City,SwimmingPool VolleyBallCourt AerobicsCentre CardRoom Barbecue Sauna SteamRoom Creche/Daycare SkatingRink
Signature Global City 93,MiniTheatre DoctoronCall ConciergeService SwimmingPool Bar/Chill-OutLounge Laundry FlowerGarden ReflexologyPark Salon
Whiteland The Aspen,ReflexologyPark CardRoom HighSpeedElevators Sauna Jacuzzi Spa EntranceLobby Yoga/MeditationArea ClubHouse
Bestech Altura,SwimmingPool Football FlowerGarden ReadingLounge School Pergola SkatingRink GroceryShop SquashCourt
Elan The Presidential,SwimmingPool AerobicsCentre ShoppingCentre VideoDoorSecurity Amphitheatre Yoga/MeditationArea CCTVCameraSecurity JoggingTrack 24x7Security
Signature Global City 92,SwimmingPool ReflexologyPark TerraceGarden WaitingLounge Jacuzzi SkatingRink CricketPitch SunDeck Amphitheatre
Emaar Digihomes,MiniTheatre SwimmingPool Salon CardRoom Restaurant Spa Creche/Daycare BanquetHall LawnTennisCourt
Signature Global City 79B,SwimmingPool ReflexologyPark Gazebo BanquetHall CricketPitch SunDeck MultipurposeCourt Amphitheatre ToddlerPool
DLF The Arbour,SwimmingPool CommunityHall Yoga/MeditationArea 24x7Security ClubHouse GatedCommunity Gymnasium LandscapeGarden Children'sPlayArea
M3M Antalya Hills,MiniTheatre SwimmingPool Lounge ReflexologyPark Restaurant TerraceGarden Sauna Spa Gazebo
Signature Global City 81,SwimmingPool FlowerGarden Jacuzzi Wi-FiConnectivity Amphitheatre PowerBackupLift VastuCompliant BasketballCourt BadmintonCourt
SS Linden Floors,SwimmingPool School EntranceLobby CCTVCameraSecurity ClubHouse GatedCommunity LandscapeGarden Lift(s) CarParking
Mahindra Luminare,SwimmingPool CardRoom Restaurant Spa SquashCourt Gazebo BanquetHall LawnTennisCourt Amphitheatre
M3M Golf Hills,Salon Spa CricketPitch LawnTennisCourt Amphitheatre BasketballCourt BadmintonCourt EntranceLobby Yoga/MeditationArea
Suncity Vatsal Valley,EarthquakeResistant VastuCompliant EntranceLobby 24/7PowerBackup 24/7WaterSupply LandscapeGarden Children'sPlayArea Lift(s) CarParking
Whiteland Blissville,Lounge Barbecue Creche/Daycare Yoga/MeditationArea ClubHouse Gymnasium LandscapeGarden Children'sPlayArea Lift(s)
Trump Tower,ValetParking Foosball ConciergeService InfinityPool SwimmingPool Bar/Chill-OutLounge BusinessLounge Laundry CigarLounge
Tulip Monsella,MiniTheatre SwimmingPool Bar/Chill-OutLounge BusinessLounge CigarLounge GolfCourse School CardRoom Restaurant
Krisumi Waterfall Residences,ConciergeService SwimmingPool Bar/Chill-OutLounge Salon Restaurant TerraceGarden Pergola Jacuzzi PipedGas
M3M Capital,SwimmingPool Lounge Bar/Chill-OutLounge ATM AerobicsCentre Restaurant Sauna Spa SkatingRink
Godrej Meridien,ValetParking MiniTheatre ConciergeService SwimmingPool Bar/Chill-OutLounge MedicalCentre FlowerGarden ReflexologyPark School
La Vida by Tata Housing,MiniTheatre NaturalPond SwimmingPool CardRoom Sauna Spa SquashCourt CricketPitch SunDeck
Birla Navya,MiniTheatre SwimmingPool Football Lounge BusinessLounge FlowerGarden ReflexologyPark Conferenceroom Salon
Signature Global City,SwimmingPool ReflexologyPark Jacuzzi SkatingRink CricketPitch MultipurposeCourt Amphitheatre ToddlerPool BasketballCourt
Godrej 101,AirHockey AcupressurePark Foosball SwimmingPool Football ReadingLounge GolfCourse VolleyBallCourt ATM
M3M Soulitude,SwimmingPool Lounge Bar/Chill-OutLounge SolarLighting AerobicsCentre Restaurant TerraceGarden PipedGas Theatre
BPTP Terra,SwimmingPool Bar/Chill-OutLounge WaitingLounge Fountain SunDeck ToddlerPool CommunityHall Yoga/MeditationArea RainWaterHarvesting
M3M Skycity,BusShelter SwimmingPool Lounge Bar/Chill-OutLounge ReflexologyPark School AerobicsCentre TerraceGarden HighSpeedElevators
MRG The Crown,SwimmingPool VisitorsParking SkatingRink CricketPitch BasketballCourt SewageTreatmentPlant JoggingTrack ClubHouse GatedCommunity
Godrej Nature Plus Serenity,ReflexologyPark ROSystem Restaurant Theatre Amphitheatre BadmintonCourt EntranceLobby MultipurposeHall Yoga/MeditationArea
SS The Leaf,ValetParking SwimmingPool Football BusinessLounge MedicalCentre FlowerGarden School SquashCourt Wi-FiConnectivity
Eldeco Acclaim,SwimmingPool Restaurant PipedGas SquashCourt Gazebo PropertyStaff Billiards SunDeck LawnTennisCourt
Emaar Gurgaon Greens,SwimmingPool FlowerGarden GolfCourse SolarLighting Pergola PropertyStaff Cafeteria Fountain LawnTennisCourt
Oxirich Chintamanis,SwimmingPool EntranceLobby Yoga/MeditationArea 24/7PowerBackup GatedCommunity Gymnasium Children'sPlayArea CarParking
DLF Garden City Floors,SwimmingPool Bar/Chill-OutLounge School Spa GroceryShop SquashCourt ShoppingCentre PowerBackupLift CCTVCameraSecurity
Anant Raj Estates,SwimmingPool GolfCourse Salon Restaurant Spa WaterSoftenerPlant GroceryShop ShoppingCentre CricketPitch
Tulip Yellow,SwimmingPool HighSpeedElevators WaitingLounge SkatingRink GroceryShop Wi-FiConnectivity Cafeteria Fountain CricketPitch
BPTP Amstoria,SwimmingPool BusinessLounge GolfCourse Barbecue Restaurant Pergola Spa SquashCourt Theatre
Emaar Emerald Hills,MilkBooth SwimmingPool Bar/Chill-OutLounge CigarLounge ChangingArea School AerobicsCentre CardRoom Restaurant
M3M Golfestate,MiniTheatre DoctoronCall BeachVolleyBallCourt AirHockey AutomatedCarWash Clinic Foosball ConciergeService Carwasharea
ATS Triumph,ConciergeService SwimmingPool ChangingArea ATM Sauna WaterSoftenerPlant SkatingRink Wi-FiConnectivity PropertyStaff
ATS Marigold,SwimmingPool ReflexologyPark SquashCourt ShoppingCentre LawnTennisCourt PowerBackupLift CommunityHall BasketballCourt EntranceLobby
Signature Global City 37D Ph 2,SwimmingPool ShoppingCentre SunDeck Yoga/MeditationArea SewageTreatmentPlant JoggingTrack RainWaterHarvesting ClubHouse 24/7PowerBackup
DLF Alameda,Clinic SwimmingPool MedicalCentre School CardRoom Restaurant SquashCourt Theatre Gazebo
Experion Windchants,MiniTheatre AirHockey Foosball NaturalPond SwimmingPool ReadingLounge Conferenceroom SolarLighting CardRoom
4S Aradhya Homes,SwimmingPool Bar/Chill-OutLounge TerraceGarden PipedGas Cafeteria TableTennis BadmintonCourt JoggingTrack ClubHouse
Yash Vihar,SolarLighting Pergola SkatingRink Fountain ShoppingCentre CricketPitch Amphitheatre SewageTreatmentPlant CCTVCameraSecurity
Smart World Orchard,MiniTheatre SwimmingPool Lounge Bar/Chill-OutLounge MedicalCentre Conferenceroom Salon AerobicsCentre VisitorsParking
DLF The Camellias,ConciergeService SwimmingPool GolfCourse VisitorsParking Restaurant WaitingLounge Sauna Spa WaterSoftenerPlant
Birla Navya Avik,Football SkatingRink CricketPitch Amphitheatre BasketballCourt BadmintonCourt Yoga/MeditationArea Gymnasium LandscapeGarden
Adani Samsara Avasa,NaturalPond SwimmingPool TerraceGarden Pergola Sauna Spa Fountain SunDeck VideoDoorSecurity
DLF The Crest,SwimmingPool Bar/Chill-OutLounge FlowerGarden ReadingLounge Salon CardRoom SolarWaterHeating Restaurant Spa
DLF The Magnolias,MiniTheatre SwimmingPool Football Bar/Chill-OutLounge BusinessLounge Salon Restaurant Spa WaterSoftenerPlant
DLF The Aralias,ConciergeService SwimmingPool Restaurant Spa SkatingRink SquashCourt Theatre PoolTable PropertyStaff
Pioneer Araya,Foosball ConciergeService InfinityPool SwimmingPool Bar/Chill-OutLounge BusinessLounge ReadingLounge Salon CardRoom
M3M Merlin,BeachVolleyBallCourt AutomatedCarWash SwimmingPool Laundry FlowerGarden ReflexologyPark GolfCourse VolleyBallCourt Salon
Smart World Gems,SwimmingPool Lounge AerobicsCentre TerraceGarden PipedGas SquashCourt Gazebo Wi-FiConnectivity SunDeck
Vatika Aspiration,GroceryShop CommunityHall SewageTreatmentPlant RainWaterHarvesting GatedCommunity Gymnasium LandscapeGarden Children'sPlayArea InternalStreetLights
Ace Palm Floors,SwimmingPool Fountain SunDeck Amphitheatre Yoga/MeditationArea ClubHouse GatedCommunity LandscapeGarden Children'sPlayArea
DLF Gardencity Enclave,ShoppingCentre CommunityHall SewageTreatmentPlant 24x7Security ClubHouse Children'sPlayArea InternalStreetLights FireFightingSystems
Emaar Palm Heights,SwimmingPool WaitingLounge Creche/Daycare SunDeck LawnTennisCourt ToddlerPool BasketballCourt BadmintonCourt EntranceLobby
Signature Global Park,SwimmingPool Gazebo Amphitheatre BasketballCourt BadmintonCourt MultipurposeHall Yoga/MeditationArea JoggingTrack Gymnasium
Emaar MGF Marbella,BowlingAlley MiniTheatre ConciergeService SwimmingPool Lounge Bar/Chill-OutLounge CigarLounge ChangingArea Salon
Rishali Luxe Residency 112,CommunityHall SewageTreatmentPlant RainWaterHarvesting ClubHouse 24/7PowerBackup GatedCommunity 24/7WaterSupply Children'sPlayArea GarbageDisposal
Puri The Aravallis,Foosball InfinityPool SwimmingPool Football Jacuzzi CricketPitch SunDeck LawnTennisCourt Amphitheatre
International City by SOBHA Phase 2,SwimmingPool TheaterHome School SolarLighting Restaurant TerraceGarden Jacuzzi PipedGas SquashCourt
Emaar MGF The Palm Drive,SwimmingPool TheaterHome Bar/Chill-OutLounge CigarLounge ReadingLounge ReflexologyPark GolfCourse ChangingArea School
BPTP Green Oaks,CommunityHall ClubHouse LandscapeGarden
Puri Emerald Bay,SwimmingPool Theatre Wi-FiConnectivity Cafeteria Billiards LawnTennisCourt VideoDoorSecurity MultipurposeCourt Amphitheatre
Ireo Victory Valley,SwimmingPool Football Bar/Chill-OutLounge FlowerGarden ReadingLounge GolfCourse Conferenceroom School Salon
DLF Gardencity,SwimmingPool Bar/Chill-OutLounge School Restaurant Spa SquashCourt Theatre Cafeteria Fountain
Tata Primanti,SwimmingPool ChangingArea School CardRoom Restaurant Sauna Jacuzzi PipedGas SteamRoom
DLF Park Place,MiniTheatre SwimmingPool TheaterHome BusinessLounge Laundry ChangingArea School Salon ROSystem
Central Park Flower Valley,SwimmingPool ReadingLounge ReflexologyPark GolfCourse AerobicsCentre Sauna Jacuzzi SteamRoom Creche/Daycare
Ireo Skyon,SwimmingPool GolfCourse ChangingArea School Restaurant HighSpeedElevators PipedGas SteamRoom SquashCourt
AIPL The Peaceful Homes,AutomatedCarWash ConciergeService SwimmingPool Football Bar/Chill-OutLounge ReadingLounge GolfCourse VolleyBallCourt Salon
Adani M2K Oyster Grande,SwimmingPool ChangingArea School Salon ATM AerobicsCentre CardRoom SolarWaterHeating WaitingLounge
G99,MilkBooth ManicuredGarden SwimmingPool Football FlowerGarden School Restaurant Pergola SkatingRink
Emaar MGF Emerald Floors Premier,Clinic SwimmingPool School PipedGas Creche/Daycare Theatre ShoppingCentre LawnTennisCourt JoggingTrack
ROF Insignia Park,SwimmingPool SkatingRink GroceryShop Gazebo CricketPitch LawnTennisCourt Amphitheatre BasketballCourt BadmintonCourt
DLF The Ultima,MiniTheatre SwimmingPool TheaterHome Football Bar/Chill-OutLounge FlowerGarden ReadingLounge GolfCourse ChangingArea
Indiabulls Enigma,SwimmingPool AerobicsCentre Barbecue Restaurant Pergola Spa PoolTable Cafeteria SunDeck
Experion The Westerlies,SwimmingPool ReflexologyPark Barbecue TerraceGarden Gazebo Fountain SunDeck Amphitheatre PowerBackupLift
Hero Homes,SwimmingPool Bar/Chill-OutLounge ReadingLounge ReflexologyPark CardRoom Barbecue Restaurant Sauna Spa
Central Park Flower Valley Mikasa Plots,BowlingAlley ConciergeService SwimmingPool Lounge MedicalCentre Laundry FlowerGarden ReflexologyPark GolfCourse
M3M Skywalk,ConciergeService SwimmingPool Lounge GolfCourse ChangingArea AerobicsCentre Restaurant HighSpeedElevators WaitingLounge
Ireo The Grand Arch,BowlingAlley SwimmingPool Football Restaurant WaitingLounge PipedGas WaterSoftenerPlant Creche/Daycare SquashCourt
JMS The Nation,Yoga/MeditationArea GatedCommunity Children'sPlayArea
Imperia The Esfera,FoodCourt SwimmingPool ReadingLounge AerobicsCentre Restaurant WaterSoftenerPlant PropertyStaff BanquetHall Library
Ramprastha Primera,SwimmingPool WaterSoftenerPlant Theatre ShoppingCentre VideoDoorSecurity MultipurposeCourt VastuCompliant MultipurposeHall Yoga/MeditationArea
Experion The Heartsong,ManicuredGarden BusShelter Clinic NaturalPond Carwasharea SwimmingPool Bar/Chill-OutLounge MedicalCentre ReadingLounge
DLF New Town Heights 2,SwimmingPool Pergola PipedGas GroceryShop Cafeteria Fountain SunDeck LawnTennisCourt MultipurposeCourt
DLF The Primus,SwimmingPool School AerobicsCentre Restaurant Pergola WaitingLounge Sauna SteamRoom SquashCourt
DLF The Skycourt,SwimmingPool FlowerGarden School SolarLighting CardRoom SolarWaterHeating Restaurant TerraceGarden PipedGas
Central Park Resorts,SwimmingPool GolfCourse ATM Restaurant WaitingLounge Cafeteria ShoppingCentre VideoDoorSecurity MultipurposeCourt
Suncity Avenue 76,School HighSpeedElevators Creche/Daycare ShoppingCentre CricketPitch Amphitheatre EarthquakeResistant PowerBackupLift PartyLawn
International City by Sobha Phase 1,InfinityPool SwimmingPool Salon AerobicsCentre CardRoom Restaurant TerraceGarden Pergola Sauna
Ambience Creacions,DoctoronCall BusShelter FoodCourt SwimmingPool Football Bar/Chill-OutLounge BusinessLounge MedicalCentre FlowerGarden
Vatika Xpressions,SwimmingPool ATM Creche/Daycare GroceryShop PropertyStaff Billiards LawnTennisCourt VideoDoorSecurity MultipurposeCourt
M3M Sierra 68,SwimmingPool Restaurant HighSpeedElevators PipedGas PropertyStaff Cafeteria Fountain SunDeck LawnTennisCourt
Anand Niketan,ManicuredGarden SwimmingPool GroceryShop Gazebo Fountain CricketPitch BasketballCourt Yoga/MeditationArea CCTVCameraSecurity
DLF The Belaire,Clinic SwimmingPool TheaterHome School AerobicsCentre CardRoom Restaurant Pergola HighSpeedElevators
Godrej Aria,SwimmingPool School Spa SquashCourt PropertyStaff Library CricketPitch LawnTennisCourt MultipurposeCourt
Ansals Shiva Som Valley,Yoga/MeditationArea SewageTreatmentPlant CCTVCameraSecurity JoggingTrack 24x7Security Gymnasium 24/7WaterSupply LandscapeGarden Children'sPlayArea
Vipul World,SwimmingPool School Wi-FiConnectivity PropertyStaff Amphitheatre Yoga/MeditationArea RainWaterHarvesting ClubHouse 24/7PowerBackup
Central Park Flower Valley Aqua Front Towers,DoctoronCall SwimmingPool GolfCourse Restaurant Sauna Jacuzzi Spa GroceryShop Gazebo
Tulip Violet,BusShelter SwimmingPool Lounge GolfCourse ChangingArea Gazebo Cafeteria Fountain VideoDoorSecurity
Eldeco Accolade,ValetParking SwimmingPool Football Laundry FlowerGarden School ATM CardRoom Jacuzzi
M3M Natura,SwimmingPool Football Bar/Chill-OutLounge Salon TerraceGarden HighSpeedElevators Spa Cafeteria SunDeck
Emaar Imperial Gardens,SwimmingPool School Pergola Wi-FiConnectivity PropertyStaff Cafeteria ShoppingCentre Library SunDeck
Ireo City Plots,SwimmingPool Salon BanquetHall LawnTennisCourt Amphitheatre JoggingTrack 24x7Security ClubHouse 24/7PowerBackup
Parsvnath Exotica,SwimmingPool GolfCourse CardRoom PipedGas SquashCourt Billiards VideoDoorSecurity BasketballCourt EntranceLobby
Pioneer Urban Presidia,SwimmingPool Football Bar/Chill-OutLounge ReadingLounge GolfCourse Restaurant TerraceGarden Spa SkatingRink
Suncity Platinum Towers,MiniTheatre AutomatedCarWash SwimmingPool BusinessLounge Salon CardRoom WaitingLounge Sauna SteamRoom
Godrej Nature Plus,NaturalPond SwimmingPool SkatingRink Gazebo Cafeteria Billiards Fountain ShoppingCentre CricketPitch
Bestech Park View Grand Spa,AutomatedCarWash AcupressurePark SwimmingPool GolfCourse Salon CardRoom Restaurant HighSpeedElevators WaitingLounge
Shree Vardhman Victoria,BusShelter SwimmingPool School CardRoom Pergola HighSpeedElevators Sauna SteamRoom WaterSoftenerPlant
