building type_1 BHK,area low 1 BHK,area high 1 BHK,price low 1 BHK,price high 1 BHK,building type_2 BHK,area low 2 BHK,area high 2 BHK,price low 2 BHK,price high 2 BHK,building type_3 BHK,area low 3 BHK,area high 3 BHK,price low 3 BHK,price high 3 BHK,building type_4 BHK,area low 4 BHK,area high 4 BHK,price low 4 BHK,price high 4 BHK,building type_5 BHK,area low 5 BHK,area high 5 BHK,price low 5 BHK,price high 5 BHK,building type_6 BHK,area low 6 BHK,area high 6 BHK,price low 6 BHK,price high 6 BHK,building type_1 RK,area low 1 RK,area high 1 RK,price low 1 RK,price high 1 RK,building type_Land,area low Land,area high Land,price low Land,price high Land
,,,,,Apartment,1200.0,1478.0,1.08,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2000.0,2025.0,2.17,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.0,9000.0,4.44,18.5
,,,,,,,,,,Apartment,1380.0,1380.0,,,Apartment,3390.0,3390.0,,,Apartment,4665.0,4665.0,,,Apartment,8580.0,8580.0,,,,,,,,,,,,
,,,,,,,,,,Apartment,2279.0,2961.0,5.0,6.5,Apartment,2821.0,4995.0,6.19,10.96,Apartment,4111.0,6159.0,9.02,13.51,,,,,,,,,,,,,,,
,,,,,Apartment,2300.0,2300.0,,,Apartment,2685.0,2685.0,,,Apartment,3150.0,4300.0,7.02,9.59,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,822.79,1928.0,1.1,2.58,Apartment,925.7,2000.0,1.25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2660.0,2660.0,2.5,3.0,Apartment,3185.0,7054.0,3.1,6.87,Apartment,5840.0,5840.0,5.5,7.0,,,,,,,,,,,,,,,
,,,,,Apartment,1300.0,1350.0,1.03,1.09,Apartment,1950.0,1950.0,1.55,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1350.0,1350.0,,,Apartment,1750.0,1750.0,,,Apartment,2400.0,2400.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1300.0,1300.0,,,Apartment,1875.0,1875.0,,,Apartment,2475.0,2475.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1605.0,1650.0,1.15,1.18,Apartment,1920.0,3155.0,1.38,2.26,Apartment,2465.0,3695.0,1.77,2.65,,,,,,,,,,,,,,,,,,,,
Service Apartment,569.95,639.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studio Apartment,438.63,1607.0,,,,,,,
,,,,,Apartment,1250.0,1450.0,2.0,2.32,Apartment,1828.0,2004.0,2.92,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,912.56,1444.0,1.18,1.87,Apartment,1255.29,2078.0,2.02,3.34,Apartment,1571.85,2650.0,2.34,3.95,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1116.0,1116.0,,,Independent Floor,1474.66,1474.66,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Independent Floor,2430.0,4520.84,6.0,11.16,Independent Floor,5760.0,5760.0,,,,,,,,,,,,,,538.2,538.2,,
,,,,,Apartment,1345.0,1915.0,0.9540000000000001,1.36,Apartment,1720.0,2199.0,1.22,1.58,Apartment,2696.0,2764.0,1.91,1.96,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1093.0,2515.0,0.98,2.25,Independent Floor,1230.0,2559.0,1.1,2.29,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1350.0,,
,,,,,Apartment,1250.0,1737.0,0.875,1.22,Apartment,1790.0,2000.0,1.04,1.18,Apartment,1979.0,5100.0,1.5,3.88,Apartment,2616.0,2894.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0,3600.0,3.31,5.3
,,,,,,,,,,Apartment,1790.0,1790.0,,,Apartment,2350.0,2635.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,3868.0,3979.0,6.77,6.96,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1166.81,1167.88,,,Apartment,1291.67,1492.95,1.69,1.95,Apartment,1614.0,1614.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.0,3240.0,4.2,6.3
,,,,,,,,,,,,,,,Apartment,3500.0,3500.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1438.0,1527.0,91.61,0.9729000000000001,Apartment,1693.0,1967.0,1.24,1.71,Apartment,2215.0,2215.0,1.59,1.93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,2575.0,2750.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2750.0,3815.0,2.15,2.99,Apartment,3200.0,5975.0,2.51,4.68,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2600.0,2650.0,2.05,2.09,Apartment,5140.0,5140.0,,,Apartment,2902.27,2902.27,,,,,,,,,,,,,,,,,
Apartment,837.0,1272.0,,,Independent Floor,1620.0,1620.0,,,Independent Floor,1737.0,1737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Apartment,683.0,1472.0,6.49,13.99,Service Apartment,1406.0,1683.0,13.36,16.0,Service Apartment,1473.0,1473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0,1575.0,0.99,1.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1611.0,0.9001,1.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.89,1506.95,1.17,1.6
,,,,,,,,,,Apartment,1745.0,2095.0,1.5,1.98,Apartment,3045.0,3045.0,2.0,2.59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,5000.0,6000.0,7.0,8.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1000.0,1205.0,1.0,1.21,Apartment,1408.0,1408.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.0,1197.0,1.34,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,3852.0,2.7,5.78
,,,,,,,,,,Villa,3000.0,3000.0,,,Villa,4000.0,4750.0,7.5,12.0,Villa,6150.0,7650.0,16.5,22.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.0,6030.0,1.92,4.26
,,,,,,,,,,Apartment,1450.0,2025.0,1.2,1.69,Apartment,1950.0,1950.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1062.82,1122.69,,,Apartment,1580.86,2252.84,1.66,2.37,Apartment,2081.85,2336.11,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1535.0,1615.0,0.9505,1.0,Apartment,1535.0,2384.0,0.9505,1.48,Apartment,2057.0,3030.0,1.27,1.88,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1230.34,1435.0,84.0,0.85,Apartment,1733.4,1981.11,1.05,1.22,Apartment,2390.0,2408.23,1.35,1.55,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,514.27,569.24,30.84,0.3414,Apartment,627.0,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1091.67,1091.67,,,Independent Floor,1725.0,1725.0,,,Independent Floor,1800.0,1800.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,1611.0,2.0,2.24
,,,,,,,,,,Apartment,1720.0,1950.0,1.36,1.54,,,,,,Apartment,3750.0,3750.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,865.0,1245.0,68.33,0.9836,Apartment,1483.0,1999.0,1.17,1.58,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1997.0,2605.0,1.9,3.26,Apartment,2939.0,4808.0,3.0,5.91,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2560.0,3675.0,5.84,8.38,Apartment,3650.0,5975.0,8.32,13.62,Villa,4900.0,4900.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,1540.0,1610.0,,,Apartment,1814.0,2682.0,1.18,1.74,Apartment,2440.0,2731.0,1.59,1.78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2600.0,2733.0,2.77,2.91,Apartment,3200.0,3200.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1365.0,1365.0,,,Apartment,1790.0,2822.0,,,Apartment,3472.0,4068.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1133.0,1630.0,0.76,1.09,Apartment,1617.0,2142.0,0.9299,1.23,Apartment,2317.0,3008.0,1.35,1.75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2120.0,2120.0,,,Apartment,2560.0,2560.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2380.0,2430.0,,,Apartment,2875.0,2955.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1020.0,1020.0,,,Apartment,1280.0,1395.0,1.66,1.81,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,418.0,432.0,29.26,0.3024,Apartment,626.0,690.0,43.82,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1310.0,1404.0,88.45,0.948,Apartment,1862.0,4241.0,1.26,2.86,Apartment,2724.0,5092.0,1.84,3.44,,,,,,,,,,,,,,,,,,,,
Apartment,918.0,1144.0,,,Apartment,1252.13,1701.64,,,Apartment,1510.71,2028.0,,,Apartment,1676.51,1965.18,,,Apartment,3056.66,3056.66,,,,,,,,,,,,,,1023.57,1581.93,1.2,1.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1611.0,0.7834,1.1
Apartment,348.04,398.86,,,Apartment,559.82,566.61,,,Apartment,644.86,645.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,1593.0,1.25,1.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.68,1606.34,0.5507,1.13
,,,,,Apartment,1250.0,1342.0,73.0,0.7837000000000001,Apartment,1500.0,2077.0,0.86,1.19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1700.0,2215.0,2.59,2.85,Apartment,2950.0,4500.0,3.39,5.19,Villa,7000.0,7000.0,8.98,8.99,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1195.0,1447.0,5.2,6.3,Apartment,1980.0,1980.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1200.0,1200.0,,,Apartment,1580.0,1580.0,,,Apartment,2250.0,2250.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.0,1620.0,,
,,,,,Apartment,1385.0,1385.0,,,Apartment,1665.0,1900.0,1.32,1.51,Apartment,2355.0,4150.0,1.87,3.31,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1296.0,1296.0,,,Apartment,1727.0,1727.0,,,Apartment,2740.0,2740.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1365.0,1365.0,0.7501000000000001,1.09,Apartment,1685.0,2400.0,0.9273,1.91,Apartment,2835.0,2835.0,1.56,2.3,Villa,5595.0,5595.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1920.0,2120.0,1.36,1.5,Apartment,2325.0,2475.0,1.61,1.71,,,,,,,,,,,,,,,,,,,,
Apartment,496.9,496.9,,,Apartment,519.22,644.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,952.0,975.0,,,Independent Floor,1985.0,1985.0,,,Independent Floor,2122.0,2726.0,1.9,2.55,Independent Floor,4115.5,4115.5,,,,,,,,,,,,,,,,,
,,,,,Apartment,1310.0,1310.0,,,Apartment,1770.0,1770.0,,,Apartment,2390.0,2390.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,936.0,,
,,,,,Apartment,1360.0,1360.0,,,Apartment,1645.0,1810.0,,,,,,,,Villa,5480.0,5840.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1430.0,1960.0,0.82,1.12,Apartment,2535.0,4890.0,1.6,3.09,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,990.0,1198.0,0.8,1.0,Apartment,1150.0,2042.0,1.0,1.78,Apartment,2300.0,2428.0,1.7,1.9,,,,,,,,,,,,,,,,,,,,
Apartment,661.44,661.44,,,Apartment,990.28,1390.16,1.22,1.71,Apartment,1291.67,2129.0,2.34,3.85,Apartment,1840.63,2599.0,1.91,2.69,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,445.53,551.91,26.06,0.3225,Apartment,645.84,645.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1942.0,2149.0,1.7,2.0,Apartment,2554.0,2860.0,2.35,2.74,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2450.0,2450.0,,,Apartment,3110.0,3110.0,,,Apartment,3925.0,3925.0,,,,,,,,,,,,,,,,,
Apartment,825.0,825.0,,,Apartment,1060.0,1125.0,1.0,1.06,Apartment,1505.0,1545.0,1.3,1.33,Apartment,1850.0,1870.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1310.0,1310.0,,,Apartment,1280.0,1820.0,0.8937999999999999,1.27,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,338.64,338.64,,,Apartment,514.4,577.95,25.19,0.2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,350.0,350.0,,,Apartment,548.0,925.0,26.62,0.4493,Apartment,745.0,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1366.0,1536.0,76.0,0.8545999999999999,Apartment,1943.0,2361.0,1.61,1.76,Apartment,2746.0,2746.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,3060.0,1.06,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.0,1521.0,1.14,1.29
,,,,,,,,,,,,,,,Apartment,2764.0,2764.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,2100.0,2100.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1200.0,1500.0,1.75,2.4,Independent Floor,2200.0,2900.0,3.0,4.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,4495.0,4645.0,9.1,9.4,Apartment,5330.0,5500.0,13.0,13.41,Apartment,6068.0,6425.0,15.0,15.88,,,,,,,,,,
,,,,,,,,,,Apartment,1470.0,1870.0,0.9114,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,301.28,301.28,,,Apartment,497.98,497.98,,,Apartment,763.0,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment,583.61,583.61,,,Apartment,557.78,557.78,,,Apartment,692.12,692.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,524.75,524.75,,,Apartment,645.3,645.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,705.0,705.0,,,Apartment,773.0,773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1270.0,1270.0,,,Apartment,1963.0,1963.0,,,Apartment,3434.0,3434.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1865.0,2125.0,1.25,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,2400.0,2400.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,2400.0,2400.0,,,Apartment,3850.0,4600.0,,,Villa,7500.0,7500.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0,1305.0,1.13,1.31
,,,,,Apartment,573.54,590.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1125.0,1450.0,,,Apartment,1550.0,2025.0,,,Apartment,2095.0,2595.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,628.0,628.0,,,Apartment,946.0,946.0,,,Apartment,1246.0,1246.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1350.0,1350.0,,,Apartment,1550.0,1550.0,,,,,,,,,,,,,,,,,,,,,,,,1179.0,9000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1620.0,,
,,,,,,,,,,,,,,,Apartment,3000.0,3600.0,5.49,7.49,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2480.0,2531.0,2.45,2.5,Villa,3170.0,3372.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1650.0,1650.0,,,Apartment,2410.0,2410.0,,,Apartment,3670.0,3670.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,1336.0,1418.0,1.1,1.25,Apartment,1629.0,1877.0,1.45,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1550.0,1623.0,1.35,1.41,Apartment,1897.0,2134.0,1.9,2.14,Apartment,3007.0,3974.0,3.2,4.23,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1724.0,1796.0,1.7,1.77,Apartment,2467.0,3150.0,2.55,3.26,Apartment,3309.0,3486.0,3.5,3.69,,,,,,,,,,,,,,,,,,,,
Apartment,907.62,907.62,,,Apartment,1298.05,1435.0,77.88,0.861,Apartment,1877.0,2160.0,1.13,1.3,Apartment,2423.0,2425.0,1.45,1.46,Apartment,4567.02,4567.02,,,,,,,,,,,,,,,,,
,,,,,Apartment,1446.0,1446.0,,,Apartment,2293.0,2587.0,,,,,,,,Apartment,4780.0,4780.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,1615.0,1615.0,,,Apartment,1845.0,1930.0,1.14,1.19,Apartment,2230.0,2727.0,1.37,1.68,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,3160.0,3160.0,,,Apartment,3160.0,5330.0,,,Apartment,4180.0,4180.0,,,,,,,,,,,,,,,,,
Service Apartment,892.0,904.0,1.39,1.41,Apartment,1360.67,1360.67,,,,,,,,,,,,,,,,,,,,,,,Studio Apartment,874.13,892.24,1.36,1.39,,,,,
,,,,,Apartment,964.0,964.0,,,Apartment,1127.0,1127.0,,,Apartment,1562.0,1562.0,,,,,,,,,,,,,,,,,,,,,,
Apartment,335.0,398.0,23.45,0.2786,Apartment,500.0,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1450.0,1450.0,,,Apartment,1991.0,1991.0,,,Apartment,2639.0,4711.0,1.2,2.14,Apartment,4731.0,4731.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,1000.0,1079.0,,,Apartment,1225.0,1865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1320.0,1425.0,,,Apartment,1750.0,1890.0,1.1,1.19,,,,,,,,,,,,,,,,,,,,,,,,,
